,Mean pixel diff,Class,Model,Layer
0,0.2584637403488159,0,BPTT,1
1,0.20124632120132446,1,BPTT,1
2,0.1924850344657898,2,BPTT,1
3,0.2249748706817627,3,BPTT,1
4,0.1978418231010437,4,BPTT,1
5,0.1817549467086792,5,BPTT,1
6,0.2305704951286316,6,BPTT,1
7,0.20913606882095337,7,BPTT,1
8,0.21483063697814941,8,BPTT,1
9,0.19496005773544312,9,BPTT,1
10,0.057013630867004395,0,FPTT,1
11,0.016274631023406982,1,FPTT,1
12,0.03648144006729126,2,FPTT,1
13,0.04690253734588623,3,FPTT,1
14,0.023838937282562256,4,FPTT,1
15,0.023393452167510986,5,FPTT,1
16,0.0228157639503479,6,FPTT,1
17,0.02497655153274536,7,FPTT,1
18,0.032083213329315186,8,FPTT,1
19,0.029043734073638916,9,FPTT,1
